357.25	703.25	510.5	4487.8	720.75	2062	540	1434.5	2702	1036	1097	836.25	678	2903.8	660.75	559	438.25	284.25	1821.5	242	401	346	312	290.25	470.5	370	486.75	484.75	394	250.25	245	1.11	213.75	112.75	14.5	309	51	116.25	608.5	183.75	960.5	207.2	11.1	1107.8	332.5	25.5	89.6	3.4	23.75	17	0.8	387	3.4	15	11.5	2	11.2	1.4	4	3.5	102.3	4.7	408	4.9	21.6	240	17	76	103.5	2.1	63.75	83.5	58.4	68.2	37	115.7	618.25	426.25	68.25	141	2286.3	35.6	18.2	28.5	85.25	479.5	118.75	249.5	45.5	3.3	403.75	3	61.4	15.7	18.5	26.9	25.4	20	209.25	130.1	398.25	48	6.25	4.8	192.25	76	254.5	540.5	265.5	228.75	1230	2820	87.75	64.25	81.75	748	736.5	397.25	67.75	368	61.25	70	472.75	63.2	1010	44.1	1.7	12.2	17.7	136
360	703	518.75	4492	729	2065.3	541.75	1434	2720.8	1032.5	1113.5	838	678	2914.8	664	564.5	442.75	281.75	1824.3	240.5	400.75	342	311.5	289.5	470.5	373.5	487	480.25	405	250	242.25	1.09	212.75	113.25	14.4	303.75	50.25	116	608.5	192.75	951.25	209.3	11.5	1116.3	331.5	25.5	89.2	3.4	25.25	17.75	0.8	390.25	3.7	16.25	12.75	2	11.2	1.4	4.1	3.5	103	4.7	407.75	4.9	21.6	238.5	17	75.5	101	2.1	63.75	83.6	58.7	67.2	37.25	115	618	435.25	68.75	141.5	2269	35	18.3	28.5	85.5	479	120.5	253.25	45.5	3.3	399.75	3	62	15.7	18.5	27.1	25.5	20	209.75	130	396.5	49.25	6.5	4.8	195.25	76	255.75	540.5	265.5	230.25	1228.5	2769.3	88.25	63	81.75	739	725.5	400.75	66.75	369	60.25	68	472.75	63.5	1016.5	44.1	1.7	12	17.2	132.6
361	701.5	519.5	4514.3	720.5	2071.8	542	1471.3	2732.3	1037	1134	841.75	682	2925.5	673.25	566.25	442.5	285.75	1822.8	240	405.25	350.5	314.75	290	473.5	374	489	479	411.5	252.75	241.75	1.1	216.75	112.75	14.4	298.75	51	115.75	608.75	190	951.5	209	11.3	1159.8	337	26.25	89.1	3.6	25	18	0.8	391.5	3.8	17	13	2	11.2	1.5	4.1	3.6	102.7	5	406.75	4.9	21.8	239	17.25	74.5	93.75	2.2	63.5	83.7	58.8	67.9	36.5	115	609.75	424.25	70.5	141	2271.3	35	17.9	28.25	85.5	479	124.5	254	45.5	3.3	398.5	3	62.06	15.7	18.6	26.9	25.5	19.9	211.75	130	402	50.25	6.5	4.9	195	77	258	535.25	265.5	229	1259.8	2755.5	92	64	82	741.75	730	401.5	68.5	364.25	61.5	68	472.75	63.6	1021.8	44.6	1.7	12	16.6	131.6
360	700	510.75	4506.8	715	2099	532	1456	2704	1036.8	1098.5	844.75	682	2940.8	673	564.5	440.75	281.5	1847.8	240	405	346	313.75	290.25	480	373.75	488.25	479.25	407.5	250	240	1.1	223.75	113.5	14.4	290.75	52.5	115.75	609.25	187.75	964.75	210.5	11.2	1159.3	334.5	27	88.5	3.8	28	19	0.9	385.75	3.9	18.25	13.75	2.1	11.3	1.4	4.1	3.7	102.9	5	399.5	4.9	21.8	239.75	17.75	74.75	91.25	2.2	64	83.1	58.5	67.7	37	115	609.75	418	72.75	140.25	2273.5	34.6	17.7	29.75	85.75	474.75	127.25	255.75	45.5	3.2	399.25	3.1	61.2	15.7	18.4	26.9	25.4	19.7	208.25	131.1	395.75	49.5	6.75	4.9	197.75	77	259.25	531.25	263	230	1241.5	2740	91	65.5	80.75	742.5	723.75	396.25	68.25	354.5	61.5	67.5	439.25	63.6	1015	44.8	1.7	11.8	16.5	133
356.75	681	489.75	4499.5	711	2092.5	526.5	1421	2696	1042.3	1073	973.25	684.5	2918	665	563	437.75	280.25	1837.8	238	399	342.5	310	289.5	469.75	370.5	486	467.5	400.5	242.5	231	1.09	218.5	113	14.2	273.75	51.5	113.5	604.25	185.25	967.5	200.1	10.8	1158	329.75	27	88	3.8	26.75	18.25	0.9	381.5	3.8	18.75	13.25	2.2	11.1	1.5	4.1	3.6	102.2	4.9	382.5	4.9	21.5	238.5	17.75	74.75	89.5	2.2	63.5	82.7	57.6	67.4	37	115	611.25	400.25	70.25	138.5	2252.8	34.2	17.8	29.25	85.5	464.75	124.75	251.25	47	3.2	394.75	3	60.4	15.3	18.1	26.4	24.9	19.1	202	132	385.5	47.5	7	4.8	195.5	76	260	522	260	226	1235.8	2732	90.25	63.5	80.25	738.5	720	391.5	67.5	346.25	60.75	64.5	431.23	62.7	984	44	1.7	11	16	130.7
350	666.5	467.5	4470.3	700.25	2081	530.75	1403.8	2685.5	1035.8	1054	975.25	682.25	2914.3	663.75	557.75	435	271.25	1832.8	230.5	398	338.75	306.75	285.75	467.25	370.5	484.5	473.25	399.75	238.25	224	1.08	217.5	111.75	14.1	274.5	51.75	113.25	603.75	184	942.5	200.2	10.7	1143	329.5	26.25	87.6	3.7	27.5	18	0.8	380.25	3.7	18	13.25	2.2	11.1	1.5	4.2	3.7	102.5	4.8	384	4.9	21.4	238.5	18	75.25	89.5	2.3	64	82.8	57.1	67	36	113.5	612.25	424.5	70	138.75	2244	34	17.8	28.75	85	467.25	128.25	252	46	3.2	385	3	59.8	15.1	18	26.2	24.8	18.9	200	129.5	381.75	46.75	6.75	4.9	200.5	76	258.5	520	258.75	230	1211.5	2712.5	90.75	63	81	731.75	722	382.75	67	338.5	60.5	65.75	425.25	63.7	971	44	1.7	11.2	16	130.1
331.5	646.75	438.25	4424	696.75	2071.3	514	1374.8	2641.5	1028.5	1050	939.75	668	2896.3	657.25	548.25	421.5	260.25	1829	225.5	393.25	326.75	299.25	281.25	479.81	357	475.25	475.75	397.5	222.75	210.25	1.06	215	111.5	13.4	267.75	50.25	110	600	182.25	941.5	200.4	10.5	1114	325.5	26	87.4	3.7	26.5	17.25	0.8	377	3.7	18	13.25	2.2	11	1.4	4.1	3.6	100.1	4.8	370.75	4.9	20.9	238	17	75	92	2.3	63.75	81.5	56.2	65.9	36	115	603.25	402.25	67.75	133.5	2216	33.6	17.4	28.75	85.25	465.5	129	248.5	45.25	3.1	375	3	57.9	14.6	17.7	25.5	23.8	18.4	196.25	129.5	381.5	45.5	6.5	4.8	198.75	75.75	258.5	523.5	260	228.75	1198.8	2665	90	64	81.75	731	708.25	374.75	65.75	332	60.5	64.25	401.5	62.1	952.5	43.3	1.6	10.8	16	125.3
345.75	650	452.25	4415.5	695	2071	514.75	1379	2614.8	998.75	1039.5	920.25	645.75	2885.5	654.25	549	422	267.25	1800.8	223.5	389.25	323	303	278.75	450.75	361	475	476.25	393.5	222.5	208	1.06	214.75	111.25	13.2	265.75	51.5	110.5	596.75	181	935.25	198	10.2	1111.3	326.5	25.5	86.9	3.7	26	17.5	0.8	376.25	3.7	19.25	12.75	2.1	10.8	1.4	4.1	3.6	98.4	4.8	376.75	4.7	21	235	17	75	98.75	2.3	63.5	81.2	56.7	65.2	36	110	596	418	68	132.75	2164.8	33.3	17.2	28.5	85.5	461	129.25	248	45.25	3.1	379.25	3	59.2	14.5	17.5	25.3	24	18.6	195	129.3	381	45.75	6.5	4.8	193.25	75.75	254.5	519.5	257.5	228.75	1185	2665	90	63.25	81	725.5	701.5	375.75	65	326	60	64.25	393.25	62.5	941.25	43.1	1.6	10.5	16.1	124
346.75	669	457.75	4425.5	702.25	2082	523	1430	2610.3	1020.5	1058.3	937.25	632.5	2897.8	666.5	554	431.75	278	1825	221.5	391	324.75	302.75	282.25	453.5	365	480	485.5	395.75	234.25	221.75	1.08	218.25	112	13.6	273.25	52.5	110.25	599.75	181.75	926	200.3	10.5	1134.5	326	26.25	88	3.8	26.75	18.25	0.8	381.75	3.8	21	13.5	2.2	11.1	1.4	4.1	3.6	100.1	4.9	387.5	4.7	21.1	235	16.75	75.25	99.25	2.3	64.75	81.7	57.1	66.7	36	110	605.5	434.25	69	136.5	2160.8	33.7	17.5	28.75	85.25	463.25	127.5	250.75	45.25	3.1	384	3	59.5	14.7	17.7	26.3	24.4	18.9	199.25	130	384.5	46.25	6.5	4.8	198	73.5	251.75	519.5	258.5	227	1194.8	2665	92	64.25	81	721.75	705.75	387	65.5	337	61.75	66.75	393.75	64	945.75	43.3	1.6	10.6	16.3	132.5
352.25	684.75	479.5	4488.3	712.5	2215.5	528	1471.5	2683.5	1037.3	1107.3	967.25	647.5	2907.5	667.75	560	440	289.5	1847.8	230.75	393.75	326.75	307.5	285.75	458.25	372.25	485.25	477.5	395.5	240.75	227.75	1.09	217.5	113.5	14.4	277	52.5	112.25	605.75	183.25	942.5	202.3	10.6	1153	332.25	26.75	88.2	3.8	28	18.25	0.9	385	3.8	21.75	13.75	2.2	11	1.3	4.2	3.7	99.9	4.9	387.5	4.6	21.4	238	17.5	76.25	101	2.4	64.25	83.2	58.7	67.1	37.25	114.4	615.75	423	70	137.75	2183.8	33.5	17.7	29.25	85.5	468.25	127.75	252.75	45.25	3.1	386	3.1	60.9	14.8	18.1	26.5	24.7	19.5	206.5	131	392.75	48.5	6.75	4.9	198	70	259.75	529.5	263	228.5	1200	2632.5	91	65.75	81.75	721.5	717.75	394.5	66	341	64.25	66	395.5	64	950.25	44.3	1.6	10.8	16.7	135.3
